type,status,name_ko,name_en,naver_value,vivino_value,id
grape,DIFFERENT,"울프 블라스 레드라벨 쉬라즈","Wolf Blass Red Label Shiraz","쉬라즈","Cabernet Sauvignon",ea59c021-dce2-4b18-867d-7d0e5c195c5f
grape,DIFFERENT,"토소 피오코 디 비테 브라케토 다퀴","Toso Fioco di Vite Brachetto d'Acqui","브라케토","Brachetto",74ca0665-c567-45b1-adbf-6ecfd9a00b1a
grape,DIFFERENT,"드루비에 부르고뉴 샤르도네","Drouhin Bourgogne Chardonnay","샤르도네","Pinot Noir",43219c9a-b18e-48ac-bc72-a257066d8d87
grape,DIFFERENT,"1865 셀렉티드 빈야드 카르미네르","1865 Selected Vineyard Carmenere","카르미네르","Carménère",8d2ca347-73bf-41f9-a8f6-79bab1d1c20b
grape,DIFFERENT,"로체노 네렐로 마스칼레세 로제","Roceno Nerello Mascalese Rosé","네렐로 마스칼레세","Nerello Mascalese",44858350-5fd0-4768-861a-88696ccbb6c4
grape,DIFFERENT,"알파카 까베네 메를로","Alpaca Cabernet Merlot","까베네, 메를로","Cabernet Sauvignon, Merlot",50e77753-45ef-42f0-91bf-f3145bda1568
grape,DIFFERENT,"제롬 프레보 라 끌로즈리 팩시밀리 로제 블랑 드 누아 엑스트라 브뤼","Jérôme Prévost La Closerie Fac-similé Rosé Blanc de Noirs Extra Brut","피노 누아","Pinot Meunier",23cf582f-15de-493f-bf1b-7858acf57084
grape,DIFFERENT,"앙시앙 땅 소비뇽 샤르도네","Ancien Temps Sauvignon Chardonnay","소비뇽, 샤르도네","Chardonnay, Sauvignon Blanc",e28da68b-2411-440d-a21c-3a27c657577b
grape,DIFFERENT,"스마일리 샤도네이 메를로","Smiley Chardonnay Merlot","메를로","Chardonnay",55085fbf-9a58-493f-913d-1a9c884ca460
grape,DIFFERENT,"프라미에 쉬라즈","Premier Shiraz","쉬라즈","Chardonnay",fbd0be51-00ed-4d68-8022-37d227a8fabb
grape,DIFFERENT,"메시아스 포트 화이트 스위트","Messias Port White Sweet","알 수 없음","Codega de Larinho, Rabigato, Malvasia Fina",e29c936b-da6d-42bf-ad51-642dfe097490
grape,DIFFERENT,"안단티노 그레카니코 피노 그리지오","Antantino Grecanico Pinot Grigio","피노 그리지오","Pinot Grigio, Grecanico",719bc4cf-75e9-4ed4-bdf0-1014191ecf97
grape,DIFFERENT,"아르망 드 브레냑 브뤼 골드 샹파뉴","Armand de Brignac Brut Gold Champagne","샤르도네, 피노 누아르, 피노 뮈니에","40% Chardonnay, 40% Pinot Noir, 20% Pinot Meunier",34bac906-ec0b-46c6-96aa-041727e8d699
grape,DIFFERENT,"샤토 라 플뢰르 페트뤼스","Château La Fleur-Pétrus","메를로, 카베르네 프랑","Merlot, Cabernet Sauvignon",cdfd5af9-e8a3-4d45-9dc2-6608b99dd1c3
grape,DIFFERENT,"샤또 몬텔레나 나파 샤르도네","Château Montelena Napa Chardonnay","샤르도네","Cabernet Sauvignon",c63dcead-f14d-4a28-bc01-9bdc8a960a72
grape,DIFFERENT,"도멘 꼼뜨 조르주 드 보그 뮈지니 블랑 그랑 크뤼","Domaine Comte Georges de Vogue Musigny Blanc Grand Cru 2021","피노 그리","Chardonnay",8cb7d474-3b26-41ca-a3b7-c81e19244e4d
grape,DIFFERENT,"발디까바 로쏘 디 몬탈치노","Valdicava Rosso di Montalcino","산지오베세","Chardonnay",ed50d6c8-60cd-4083-a9b1-bc332c3c8f2e
grape,DIFFERENT,"서던 오션 소비뇽블랑","Southern Ocean Sauvignon Blanc","소비뇽블랑","Cabernet Sauvignon",ddf854ff-5c7b-4eb3-ba8f-466cc71b09d1
grape,DIFFERENT,"슐롱베르거 게뷔르츠트라미너","Schlumberger Gewurztraminer","게뷔르츠트라미너","Riesling, Gewürztraminer",1955f1af-cdf1-4cea-b340-78335610ee97
grape,DIFFERENT,"테탱제 프레스티주 로제 샹파뉴","Taittinger Prestige Rosé Champagne","샤르도네, 피노 누아르, 피노 뮈니에","45% Pinot Noir, 35% Chardonnay, 20% Pinot Meunier",75f95e95-a2b5-4871-b825-025dedc4c081
grape,VIVINO_MORE,"엘 에네미고 말벡","El Enemigo Malbec","말벡","Cabernet Franc, Petit Verdot, Malbec",88b89231-1503-42d8-a468-c3edfeb159a3
grape,VIVINO_MORE,"빈티지 롱바텀 헨리스 드라이브 쉬라즈-까베르네 소비뇽","Vintage Longbottom Henrys Drive Shiraz-Cabernet Sauvignon","쉬라즈, 까베르네 소비뇽","Merlot, Shiraz/Syrah, Cabernet Sauvignon",029b2661-dc85-411e-bf75-17751c4616ec
grape,VIVINO_MORE,"이스까이 말벡 - 까베르네 프랑","Eschalier Malbec - Cabernet Franc","말벡, 까베르네 프랑","Cabernet Sauvignon, Cabernet Franc, Malbec, Merlot, Petit Verdot",57e9278c-e99b-4360-8589-456845e35d8d
grape,VIVINO_MORE,"끌로 뒤 발 메를로","Clos du Val Merlot","메를로","Merlot, Cabernet Sauvignon, Cabernet Franc, Petit Verdot",8ffff154-8a14-49fc-bbd2-000dc118f668
grape,VIVINO_MORE,"스텔라 벨라 쉬라즈","Stella Bella Shiraz","쉬라즈","Shiraz/Syrah, Cabernet Sauvignon",1cf31beb-c7d9-452e-a3b2-93aa02518e05
grape,VIVINO_MORE,"샤토 물통 로칠드","Château Mouton Rothschild","카베르네 소비뇽","Merlot, Cabernet Sauvignon",1d5e079d-c637-4e8a-9021-372611a37f8a
grape,VIVINO_MORE,"홍시에 프리미엄 피노누아","Honciee Premium Pinot Noir","피노누아","Chardonnay, Pinot Noir",291bec7a-1a39-4586-a143-785c719d8f53
grape,VIVINO_MORE,"돔 루이나르 블랑 드 블랑 엑스트라 브뤼 2013","Dom Ruinart Blanc de Blancs Extra Brut 2013","샤르도네","Chardonnay, Pinot Noir, Pinot Meunier",2d84c888-8fb0-46fa-8402-87f31fc805ed
grape,VIVINO_MORE,"3 샤또 피노 누아 생 귈렘","3 Château Pinot Noir Saint-Guillaume","피노누아","Grenache, Pinot Noir",31d48bf7-934e-4ef7-8467-ab1251ebc11b
grape,VIVINO_MORE,"쉬머 소비뇽 블랑","Shimmer Sauvignon Blanc","소비뇽 블랑","Sauvignon Blanc, Pinot Grigio",39dd4a85-95a4-4fa0-9343-76fc96c13fc1
grape,VIVINO_MORE,"G7 까베르네 소비뇽","G7 Cabernet Sauvignon","까베르네 소비뇽","Merlot, Cabernet Sauvignon",3abd2d9f-d3c1-44a1-95bc-fd062bdcd703
grape,VIVINO_MORE,"솔 드 칠레 리저브 샤르도네","Sol de Chile Reserve Chardonnay","샤르도네","Chardonnay, Sauvignon Blanc",3d683daa-6274-4c96-b5e3-7919465633b2
grape,VIVINO_MORE,"엔조 빈센조 아마로네 델라 DOCG","Enzo Vincenzo Amarone della Valpolicella DOCG","코르비나","Corvina, Rondinella, Corvinone",a561ebe4-92bd-4870-b578-e733fc8def35
grape,VIVINO_MORE,"다다 카베르네 소비뇽 시라","Dada Cabernet Sauvignon Shiraz","카베르네 소비뇽, 시라","Shiraz/Syrah, Cabernet Sauvignon, Carménère",4e4ed0b2-0fba-4247-bd92-c08b1ae058d1
grape,VIVINO_MORE,"알파카 까베르네 소비뇽","Alpaca Cabernet Sauvignon","까베르네 소비뇽","Cabernet Sauvignon, Merlot",5d8ecbf0-2afd-40b5-b093-21f3d2728184
grape,VIVINO_MORE,"알라메다 까베르네 소비뇽","Alameda Cabernet Sauvignon","까베르네 소비뇽","Cabernet Sauvignon, Merlot",66233579-92bd-4bf0-99a7-f8674f287d0a
grape,VIVINO_MORE,"더 블랙 쉬라즈","The Black Shiraz","쉬라즈","Shiraz/Syrah, Durif",aa39c033-c023-4ad4-ac3c-aa55e7913445
grape,VIVINO_MORE,"빈야드 쉬라즈","Vineyard Shiraz","쉬라즈","Shiraz/Syrah, Merlot",86976f4a-aa31-416f-987e-2b3588a39489
grape,VIVINO_MORE,"스카나비노 피노 샤르도네","Scanavino Pinot Chardonnay","샤르도네","Chardonnay, Pinot Noir",e92ac05a-1ad0-422a-a10e-6b7467e9b702
grape,VIVINO_MORE,"몬테스 셀렉트 까베르네 소비뇽","Montes Select Cabernet Sauvignon","까베르네 소비뇽","Cabernet Sauvignon, Carménère",c2f8bdf4-8cbb-4019-9654-b51ea79fa6e5
grape,VIVINO_MORE,"산테로 피노 샤르도네","Santero Pinot Chardonnay","샤르도네","Chardonnay, Pinot Bianco",ce3edb03-49f6-43ed-9097-d7446077657e
grape,VIVINO_MORE,"챠오 프리미티보 메를로 IGT","Ciao Primitivo Merlot IGT","메를로","Merlot, Primitivo",8d5a46cc-4ed9-4595-9009-c3d6afbf6bd4
grape,VIVINO_MORE,"제이콥스 크릭 1847 쉬라즈","Jacob's Creek 1847 Shiraz","쉬라즈","Shiraz/Syrah, Cabernet Sauvignon",150c1e96-4c74-4259-ac7a-0f7d5b1409f3
grape,VIVINO_MORE,"라 지오이오사 로제 밀레지마토 프로세코 DOCG","La Gioiosa Rosé Millesimato Prosecco DOCG","글레라","Pinot Nero, Glera",03fa5766-9f58-437f-8079-5f0a94d93f2e
grape,VIVINO_MORE,"에네미고 말벡","Enemigo Malbec","말벡","Cabernet Franc, Petit Verdot, Malbec",611d1022-6b7b-4524-b521-5d899f733216
grape,VIVINO_MORE,"까테나 자파타 까테나 알타 까베르네소비뇽","Catena Zapata Catena Alta Cabernet Sauvignon","까베르네 소비뇽","Cabernet Sauvignon, Malbec",d04bba5d-d238-4696-ba75-9ed22faf1067
grape,VIVINO_MORE,"샤토 라피트 로칠드","Château Lafite Rothschild","카베르네 소비뇽","Merlot, Cabernet Sauvignon, Petit Verdot",74ba7e45-9b3e-4c55-a9e0-5fa0018a3ac7
grape,VIVINO_MORE,"스내퍼 락 소비뇽 로제","Snapper Rock Sauvignon Rosé","소비뇽 블랑","Pinot Noir, Sauvignon Blanc",9c42bfa2-5476-4977-8972-6ed7a3a4f379
grape,VIVINO_MORE,"샤또 무통 로칠드 2015","Château Mouton Rothschild 2015","카베르네 소비뇽","Merlot, Cabernet Sauvignon",92f4ca2d-32ac-42fd-8bf5-55d9e5e87df7
grape,VIVINO_MORE,"샤토 오손 보르도 블렌드","Château Ausone Bordeaux Blend","카베르네 소비뇽","Cabernet Franc, Malbec, Merlot, Petit Verdot, Cabernet Sauvignon",f2e46e94-e4c3-4655-ba3b-3acb1f431e71
grape,VIVINO_MORE,"루이 로드레르 필리프 스타르크 브뤼 나뛰르 로제 샹파뉴","Louis Roederer x Philippe Starck Brut Nature Rosé Champagne","피노 누아, 샤르도네","Chardonnay, Pinot Noir, Pinot Meunier",a907e656-4cb3-4e93-a6fe-5fbad724645c
grape,VIVINO_MORE,"제이콥스 크릭 클래식 쉬라즈","Jacobs Creek Classic Shiraz","쉬라즈","Shiraz/Syrah, Cabernet Sauvignon",93bc036b-78da-4b71-bf58-ded79bda99e3
grape,VIVINO_MORE,"페트뤼스","Petrus","메를롯","Merlot, Cabernet Sauvignon",a574e8fb-2591-4e4b-9e1e-b4a969ba876d
grape,VIVINO_MORE,"비냐 빅 에이 까베르네 소비뇽","Viña Big A Cabernet Sauvignon","까베르네 소비뇽","Cabernet Sauvignon, Merlot",b3e9ef97-6845-4b35-bdeb-8512d641cda9
grape,VIVINO_MORE,"샤또 무통 로칠드 2022","Château Mouton Rothschild 2022","카베르네 소비뇽","Merlot, Cabernet Sauvignon",ac95c522-4d6f-4a8e-840f-a7bc6d8daf92
grape,VIVINO_MORE,"라 리오하나 보나르다 말벡","La Riojana Bonarda Malbec","말벡","Malbec, Bonarda",ace35e14-9d81-46ae-abe8-9e4be5473fa6
grape,VIVINO_MORE,"샤토 피숑 롱그빌 바롱 2018","Château Pichon Longueville Baron 2018","카베르네 소비뇽","Merlot, Cabernet Sauvignon, Cabernet Franc",42e0aba0-d862-4a6e-b728-b91be36e5018
grape,VIVINO_MORE,"샤또 라 미숑 오 브리옹","Château La Mission Haut-Brion","카베르네 소비뇽","Merlot, Cabernet Sauvignon, Cabernet Franc, Petit Verdot, Malbec",b4cdef4c-5d9c-48a1-9005-6e1af46d83d1
grape,VIVINO_MORE,"샤토 라 미시옹 오 브리옹","Château La Mission Haut-Brion","카베르네 소비뇽","Merlot, Cabernet Sauvignon, Cabernet Franc, Petit Verdot, Malbec",e11ce598-fdc3-432f-a4a9-6d3a540b311a
grape,VIVINO_MORE,"홀라쇼 소비뇽 블랑","Hola Chao Sauvignon Blanc","소비뇽 블랑","Sauvignon Blanc, Verdejo, Airen",32bde4ca-7144-4bf4-b470-dec5e9a404e1
grape,VIVINO_MORE,"샤또 로스 볼도스 모멘토스 메를로","Château Los Boldos Momentos Merlot","메를로","Cabernet Sauvignon, Merlot",b26ab722-36b4-4020-86b3-18f018c2cde8
grape,VIVINO_MORE,"라 또르데라 알네 프로세코 밀레지마토","La Tordera Alni Prosecco Millesimato","글레라","Glera, Chardonnay",51c495d6-becb-43b0-b2c6-f5c29e7646bf
grape,VIVINO_MORE,"킹스 오브 프로히비션 쉬라즈","Kings of Prohibition Shiraz","쉬라즈","Shiraz/Syrah, Cabernet Sauvignon",b70427dc-b1d6-4a98-b320-0bf2e26b2e5b
grape,VIVINO_MORE,"카이켄 떼루아 시리즈 말벡","Kaiken Terroir Series Malbec","말벡","Petit Verdot, Bonarda, Malbec",b549ac70-912b-4898-a515-d0f2daf30fcc
grape,VIVINO_MORE,"돔 루이나르 블랑 드 블랑 엑스트라 브뤼","Dom Ruinart Blanc de Blancs Extra Brut","샤르도네","Chardonnay, Pinot Noir, Pinot Meunier",8e1507f6-39cd-4e5a-8c91-a75dfddcfdff
grape,VIVINO_MORE,"페렐라다 스타즈 리제르바 까바 브뤼 나뚜르","Parellada Stars Reserva Cava Brut Nature","파렐라다","Chardonnay, Pinot Noir, Macabeo, Xarel-lo, Parellada",8a67cf43-4fe4-446d-845a-5bf0e2ddc758
grape,VIVINO_MORE,"슈플라이 쉬라즈","Supply Shiraz","쉬라즈","Grenache, Shiraz/Syrah",06292de2-2ec6-415a-a42b-f57e78c4b292
grape,VIVINO_MORE,"샤토 마고","Château Margaux","카베르네 소비뇽","Merlot, Cabernet Sauvignon, Cabernet Franc",da9da0d7-f57b-49e2-bcaa-37ab90c7f005
grape,VIVINO_MORE,"비냐마이포 클래식 시리즈 소비뇽 블랑","Viña Maipo Classic Series Sauvignon Blanc","소비뇽 블랑","Chardonnay, Sauvignon Blanc",e1c49c7b-7b7b-403d-9027-76cb48fe1f95
grape,VIVINO_MORE,"몬테스 클래식 까베르네 소비뇽","Montes Classic Cabernet Sauvignon","까베르네 소비뇽","Merlot, Cabernet Sauvignon, Malbec",2c8524c5-1bdc-4ff6-b56d-2990edd497b3
grape,VIVINO_MORE,"아르볼레다 까베르네 소비뇽","Arboleda Cabernet Sauvignon","까베르네 소비뇽","Cabernet Sauvignon, Cabernet Franc",76d54ef3-3a47-41ed-9c86-b471b77db6e3
grape,VIVINO_MORE,"장 레옹 메를로","Jean León Merlot","메를로","Merlot, Petit Verdot",efd38cb9-4f4a-47ce-8e35-e4849e3b381f
grape,NAVER_MORE,"폰타나프레다 르프롱드 모스카토 다스티","Fontanapredda Le Fronde Moscato d'Asti","모스카토","Moscato",856200bc-3954-40e2-81d3-95e52db57010
grape,NAVER_MORE,"샤토 라 미션 오 브리옹 라 미션 오 브리옹 블랑","Château La Mission Haut-Brion La Mission Haut-Brion Blanc","소비뇽 블랑, 세미용","Sémillon",018dfb24-6848-495d-82e7-cf51b1e6abaa
grape,NAVER_MORE,"쌩 클레어 파이오니어 블록 게뷔르츠트라미너","Saint Claire Pioneer Block Gewürztraminer","게뷔르츠트라미너","Gewürztraminer",8fc18cf3-c8b5-4f54-adf8-f12f97d52f2a
grape,NAVER_MORE,"프레스코발디 카스텔지오콘도 브루넬로 디 몬탈치노","Frescobaldi Castelgiocondo Brunello di Montalcino","브루넬로","Sangiovese",21851ab2-98a2-4340-89d5-50ab4d3c54a0
grape,NAVER_MORE,"다렌버그 더 데알릭트 빈야드 그르나슈","D'Arenberg The Derelict Vineyard Grenache","그르나슈","Grenache",9478f8f9-e006-40cf-aa65-a83a4804a932
grape,NAVER_MORE,"폴 로제 큐베 윈스턴 처칠 브뤼","Pol Roger Cuvée Sir Winston Churchill Brut","샤르도네, 피노 누아, 피노 뫼니에","Chardonnay, Pinot Noir",951d2946-29e2-4e33-8a7e-729314317773
grape,NAVER_MORE,"투썩 점퍼 울프 피노 그리지오","Tussock Jumper Wolf Pinot Grigio","피노 그리지오","Pinot Grigio",2f0b5fca-6b90-4f52-99d1-92ae8d0f667d
grape,NAVER_MORE,"챠오 피노 그리지오","Ciao Pinot Grigio","피노그리지오","Pinot Grigio",311ab3ec-7964-414b-b241-6d3a8001ff56
grape,NAVER_MORE,"프란시스 포드 코폴라 로쏘 & 비앙코 피노 그리지오","Francis Ford Coppola Rosso & Bianco Pinot Grigio","피노 그리지오","Pinot Gris",3837ed4b-dbd4-436c-82f9-9594bc5bdfbc
grape,NAVER_MORE,"펜폴즈 쿠능가 힐 쉬라즈 까베르네","Penfolds Koonunga Hill Shiraz Cabernet","쉬라즈, 까베르네 소비뇽","Cabernet Sauvignon",38375fbe-35d9-4696-adfa-9c70e2125b06
grape,NAVER_MORE,"보테가 일 비노 포에티 프로세코 브뤼","Bottega Il Vino Poeti Prosecco Brut","프로세코","100% Glera",4085e767-c976-4d98-9346-ebc855dc97b1
grape,NAVER_MORE,"간치아 모스카토 다스티","Gancia Moscato d'Asti","모스카토","100% Moscato",49c17f7b-819f-45e7-ab54-72b361fa888b
grape,NAVER_MORE,"더치 홉 쉬라즈 무르베드르","Dutch Hop Shiraz Mourvèdre","쉬라즈, 무르베드르","Shiraz/Syrah, Mourvedre",49dd4818-4a73-4757-8d67-50af8cd42245
grape,NAVER_MORE,"모란데 비티스 우니카 쉬라 까베르네 소비뇽","Morande Vitis Unica Syrah Cabernet Sauvignon","쉬라, 까베르네 소비뇽","Cabernet Sauvignon",a6962f41-2b72-49ed-88c1-8dccd0f56f4a
grape,NAVER_MORE,"예르만 피노 그리지오","Jermann Pinot Grigio","피노그리지오","Pinot Grigio",abf0ff13-463f-4719-987c-f1ed0eff6bf2
grape,NAVER_MORE,"프로메사 모스카토","Promesa Moscato","모스카토","Moscato",55bb1e7d-d92b-4242-abf5-132857c41912
grape,NAVER_MORE,"알파카 까르미네르","Alpaca Carmenere","까르미네르","Carménère",b3d59371-fb95-4eac-868b-016bd4b0d0dd
grape,NAVER_MORE,"얄룸바 옥스포드 랜딩 까베르네 쉬라즈","Yalumba Oxford Landing Cabernet Shiraz","까베르네 소비뇽, 쉬라즈","Cabernet Sauvignon",6dcc8c50-64f2-418c-a095-53cfda715427
grape,NAVER_MORE,"오리모스 그랑 리저브 GSM","Orimos Grand Reserve GSM","그르나슈, 쉬라즈, 무르베드르","Shiraz/Syrah, Grenache, Mourvedre",24777099-4492-4cd6-8015-fb96f27fc235
grape,NAVER_MORE,"피케라스 쉬라-모나스트렐","Piqueras Syrah-Monastrell","쉬라, 모나스트렐","Shiraz/Syrah, Monastrell",c7d68bf2-f9a1-4977-a506-498acfb6f726
grape,NAVER_MORE,"스칼리올라 파르팔레 모스카토 다스티","Scagliola Farfalle Moscato d'Asti","모스카토","Moscato",7be3fd6a-01be-4bb4-ad20-630553380afa
grape,NAVER_MORE,"칸티 모스카토 다스티 DOCG","Canty Moscato d'Asti DOCG","모스카토","Moscato",7c61f3cd-8306-46cc-84c6-e5ef4fd6ac2d
grape,NAVER_MORE,"피터 메르테스 골드 에디션 리슬링 카버넷","Peter Mertes Gold Edition Riesling Cabernet","리슬링, 카버넷","Riesling",41f85498-4ca1-4c33-ac94-e7729d96824a
grape,NAVER_MORE,"산테로 피노 샤르도네 스푸만테","Santero Pinot Chardonnay Spumante","피노, 샤르도네","Chardonnay, Pinot Bianco",8ce0ef63-52ac-4f0f-bf40-f25c02c02cb4
grape,NAVER_MORE,"메종 카스텔 그르나슈 미디움 스위트","Maison Castel Grenache Medium Sweet","그르나슈","Grenache",a0a7bc63-a234-40f9-9620-aebf733a0d07
grape,NAVER_MORE,"도멘 롱보 르 보타니스트 무흐베드르 쉬라","Domaine Longbo Le Botaniste Mourvèdre Syrah","무흐베드르, 쉬라","Mourvedre, Shiraz/Syrah",de1d8e52-0372-4fcb-aec4-b66ee0375b13
grape,NAVER_MORE,"스칼리올라 프리모 바치오 모스카토 다스티","Scagliola Primo Bacio Moscato d'Asti","모스카토","Moscato Bianco",f26315fc-2022-4071-95ac-068a8aa7b83a
grape,NAVER_MORE,"칸티나 자카니니 달 트랄체토 피노 그리지오","Cantina Zaccagnini Dal Tralcetto Pinot Grigio","피노 그리지오","Pinot Grigio",c46dce2b-e786-4647-bf86-4d8c4a23dbb1
grape,NAVER_MORE,"토레셀라 피노 그리지오","Torresella Pinot Grigio","피노그리지오","Pinot Grigio",ed3c7ab4-4867-41de-b3f4-e5acd6e2ff55
grape,NAVER_MORE,"펜폴즈 빈 2 쉬라즈 마타로","Penfolds Bin 2 Shiraz Mataro","쉬라즈, 마타로","Shiraz/Syrah",f6b4cf61-542f-4ff9-991f-c3b319f91b27
grape,NAVER_MORE,"타파스 가르나차 로제","Tapas Garnacha Rosé","가르나차","Garnacha",8129a579-043c-4e8f-ad92-043eea9f0fec
grape,NAVER_MORE,"아델리나 그르나슈","Adelina Grenache","그르나슈","Grenache",8f422b6a-67a2-49b8-bdce-8e61dcaff4ed
grape,NAVER_MORE,"K 빈트너스 더 보이 그르나슈","K Vintners The Boy Grenache","그르나슈","Grenache",a741e19f-16b5-4611-b3aa-30d1d459501b
grape,NAVER_MORE,"일 피아또 파스타 피노 그리지오 로제","Il Piatto Pasta Pinot Grigio Rosé","피노 그리지오","Pinot Grigio",5ff8416f-f04a-4219-a708-d437faccbd0c
grape,NAVER_MORE,"타파스 가르나차 레드","Tapas Garnacha","가르나차","Garnacha",3e09f037-3737-41d8-a701-0ddf6cb0c29e
grape,NAVER_MORE,"반피 부르넬로 디 몬탈치노","Banfi Brunello di Montalcino","브루넬로","Sangiovese",ef6e455a-f0db-4aa5-944e-57074e936ecd
grape,NAVER_MORE,"칸티 아스티 리버티","Canti Asti Liberty","모스카토","Moscato",e05a22c9-bd27-4ca0-94a2-1f287acb1e49
grape,NAVER_MORE,"샤토 라 미션 오 브리옹 블랑 2012","Château La Mission Haut Brion Blanc 2012","소비뇽 블랑, 세미용","Sémillon",621571e8-c265-4d7a-922c-4eb8d9bf004b
grape,NAVER_MORE,"클로나킬라 쉬라즈 비오니에","Clonakilla Shiraz Viognier","쉬라즈, 비오니에","Viognier",23c9158e-fc3b-4e0d-9c25-f51be4b1dc89
grape,NAVER_MORE,"베서니 퍼스트 빌리지 그르나슈","Bethany First Village Grenache","그르나슈","Grenache",49e21416-7890-4974-97d3-c19daaa79d71
grape,NAVER_MORE,"파올로 사라코 모스카토 다스티","Paolo Saracco Moscato d'Asti","모스카토","Moscato Bianco",9c00b512-c4ab-47c5-addf-02bfbc94025c
