idx,name_en,name_ko,winery_en,haiku_query,haiku_brand,haiku_grape,haiku_vintage,haiku_style,haiku_promo,gemini_query,gemini_brand,gemini_grape,gemini_vintage,gemini_style,gemini_promo
"35","Donnhoff Donnhoff Hermannshohle Riesling Grosses Gewachs","된호프 된호프 헤르만숄레 리슬링 그로세스 게벡스","Donnhoff","Donnhoff Hermannshohle Riesling","Hermannshohle Riesling Grosses Gewachs","Riesling",,"White",,"Donnhoff Hermannshohle","Donnhoff Hermannshohle","Riesling",,,
"36","Si Tu Sais Pernand-Vergelesses 1er Cru Les Belles Filles Blanc","씨 튀 세 뻬르냥 베젤레스 1er Cru 레 벨 필 블랑","Si Tu Sais","Si Tu Sais Pernand-Vergelesses Belles Filles","Pernand-Vergelesses 1er Cru Les Belles Filles Blanc","",,"White",,"Si Tu Sais Pernand-Vergelesses Les Belles","Pernand-Vergelesses Les Belles Filles","",,"White",
"37","Bovio Langhe Chardonnay 'Alessandro'","보비오 랑게 샤르도네 '알레산드로'","Bovio","Bovio Langhe Chardonnay Alessandro","Langhe Chardonnay 'Alessandro'","Chardonnay",,"White",,"Bovio Langhe Alessandro","Langhe 'Alessandro'","Chardonnay",,,
"38","7Colores Late Harvest","7컬러즈 레이트 하비스트","7 Colores","7Colores Late Harvest","Late Harvest","",,"Dessert",,"7 Colores Late Harvest","Late Harvest","",,"Dessert",
"39","El Comite Semi Sweet Red","엘 꼬미테 세미 돌체","Vinos y Bodegas","Vinos Bodegas El Comite","Semi Sweet Red","",,"Red",,"Vinos y Bodegas El Comite","El Comite","",,"Red",
"40","Si Tu Sais Pommard","씨 튀 세 뽀마르","Si Tu Sais","Si Tu Sais Pommard","Pommard","",,"Red",,"Si Tu Sais Pommard","Pommard","",,,
"41","799-805 Cabernet Sauvignon Napa Valley","799-805 까베르네 쇼비뇽 나파 밸리","Dokdo Winery","Dokdo Winery 799-805","799-805 Cabernet Sauvignon","Cabernet Sauvignon",,"Red",,"Dokdo Winery 799-805","799-805","Cabernet Sauvignon",,"Red",
"42","Domaine Seguin Manuel Bourgogne Haute Cote de Beaune","도멘 세갱 마뉴엘 부르고뉴 오뜨 꼬드 드 본","Domaine Seguin Manuel","Domaine Seguin Manuel Bourgogne","Bourgogne Haute Cote de Beaune","",,"White",,"Domaine Seguin Manuel Bourgogne Haute Cote","Bourgogne Haute Cote de Beaune","",,,
"43","Margaret River Sauvignon Blanc-Semillon","마가렛 리버 소비뇽 블랑-세미용","Evans & Tate Winery","Evans Tate Margaret River","Margaret River Sauvignon Blanc-Semillon","Sauvignon Blanc; Semillon",,"White",,"Evans & Tate Winery Margaret River",,"Sauvignon Blanc; Semillon",,"White",
"44","Partriache Veuve Aubin Blanc de Blancs Brut","파트리아슈 뵈브 오방 블랑 드 블랑","Partriache","Partriache Veuve Aubin","Veuve Aubin Blanc de Blancs Brut","",,"Sparkling",,"Partriache Veuve Aubin","Veuve Aubin","",,"Sparkling",
"45","Badet Clement Rock N Roll Classic","바데 클레망 록 앤 롤 클래식","Badet Clement","Badet Clement Rock N Roll","Rock N Roll Classic","",,,,"Badet Clement Rock N Roll","Rock N Roll Classic","",,,
"46","Delas Vacqueyras Rouge","들라스 바께이라스 루즈","Delas","Delas Vacqueyras","Vacqueyras Rouge","",,"Red",,"Delas Vacqueyras","Vacqueyras","",,"Red",
"47","Royal Prince Sonoma Coast Chardonnay","로얄 프린스 소노마 코스트 샤르도네","Royal Prince","Royal Prince Sonoma Coast","Royal Prince Sonoma Coast Chardonnay","Chardonnay",,"White",,"Royal Prince Sonoma Coast",,"Chardonnay",,"White",
"48","B.R.Cohn Sonoma County Chardonnay","비.알.콘 소노마 카운티 샤도네","B.R. Cohn Winery","B.R. Cohn Sonoma County","Sonoma County Chardonnay","Chardonnay",,"White",,"B.R. Cohn Sonoma County",,"Chardonnay",,"White",
"49","don't tell mum McLaren Vale Shiraz","돈 텔 맘 맥라렌 베일 쉬라즈","don't tell mum","don't tell mum McLaren Vale","McLaren Vale Shiraz","Shiraz",,"Red",,"don't tell mum McLaren Vale",,"Shiraz",,"Red",
"50","Elderton Unoaked Chardonnay","엘덜톤 언오크드 샤르도네","Elderton","Elderton Unoaked Chardonnay","Unoaked Chardonnay","Chardonnay",,"White",,"Elderton Unoaked",,"Chardonnay",,"White",
"51","Terra d'Oro dever ranch 125 year Zinfandel","떼라도로 진판델 디버랜치 125Year 올드 바인","Montevina","Montevina Dever Ranch Zinfandel","Dever Ranch 125 Year","Zinfandel",,"Red",,"Montevina Terra d'Oro dever","Terra d'Oro dever ranch 125 year Zinfandel","Zinfandel",,,
"52","Lunadoro Nobile di Montepulciano Guercione Ris.","루나도로 노빌레 디 몬테풀치아노 구에르치오네 리제르바","Lunadoro","Lunadoro Nobile Montepulciano Guercione","Nobile di Montepulciano Guercione Ris.","",,"Red",,"Lunadoro Nobile Guercione","Nobile di Montepulciano Guercione Ris.","",,,
"53","Jaques Lassaigne Le Cotet","쟈끄 라센느 르 꼬떼","Jaques Lassaigne","Jaques Lassaigne Le Cotet","Le Cotet","",,"Sparkling",,"Jaques Lassaigne Le Cotet","Le Cotet","",,,
"54","Nachtgold Beerenauslesse","나흐트골드 베른아우스레제","Nachtgold","Nachtgold Beerenauslesse","Beerenauslesse","",,"Dessert",,"Nachtgold Beerenauslesse","Beerenauslesse","",,"Dessert",
"55","Arianna Occhipinti Il Frappato","아리아나 오끼핀티 일 쁘라빠또","Arianna Occhipinti","Arianna Occhipinti Frappato","Il Frappato","Frappato",,"Red",,"Arianna Occhipinti Il Frappato","Il Frappato","Frappato",,,
"56","Windisch Riesling Spatelese","윈디시 리슬링 슈페트레제","Windisch","Windisch Riesling Spatelese","Riesling Spatelese","Riesling",,"White",,"Windisch Spatelese","Riesling Spatelese","Riesling",,"White",
"57","Ciel Cachirakgol Winery White","씨엘 까치락골 와이너리 화이트","Cachirakgol Winery","Cachirakgol Ciel White","Ciel White","",,"White",,"Cachirakgol Ciel","Ciel","",,"White",
"58","Warburn Estate Gossips Sweet Lip's","워번 이스테이트 가십 스위트 립스","Warburn Estate","Warburn Estate Gossips Sweet","Gossips Sweet Lip's","",,"Dessert",,"Warburn Estate Gossips Sweet","Gossips Sweet Lip's","",,,
"59","Soumah Yarra Valley Vineyard Pinot Grigio","소마 야라밸리 싱글 빈야드 피노 그리지오","Soumah","Soumah Yarra Valley Vineyard","Yarra Valley Vineyard Pinot Grigio","Pinot Grigio",,"White",,"Soumah Yarra Valley","Yarra Valley Vineyard Pinot Grigio","Pinot Grigio",,,
"60","Stable Hill Palomino Pinot Grigio","스테이블 힐 팔로미노 피노 그리지오","Side Wood","Side Wood Stable Hill Palomino","Stable Hill Palomino Pinot Grigio","Pinot Grigio",,"White",,"Side Wood Stable Hill","Stable Hill Palomino Pinot Grigio","Palomino; Pinot Grigio",,,
"61","Andre Perret Vin De Pays des Collines Rhodaniennes","앙드레 페레 뱅 드 페이스 데 콜린 호다니엔","Andre Perret","Andre Perret Vin Collines","Vin De Pays des Collines Rhodaniennes","",,,,"Andre Perret Vin De Pays","Vin De Pays des Collines Rhodaniennes","",,,
"62","Ise Marani Liamor","이세 마라니 리아모르","Ise Marani","Ise Marani Liamor","Liamor","",,,,"Ise Marani Liamor","Liamor","",,,
"63","Passopisiaro Contrada Passochianche","파소피시아로 콘트라다 파소키아네치","Passopisciaro","Passopisciaro Contrada Passochianche","Contrada Passochianche","",,"Red",,"Passopisciaro Contrada Passochianche","Contrada Passochianche","",,,
"64","Terredavino Essenze Barolo","테레다비노 에센제 바롤로","Terredavino","Terredavino Essenze Barolo","Essenze Barolo","",,"Red",,"Terredavino Essenze Barolo","Essenze Barolo","",,,
"65","Yann Bertrand Oh!... Beaujolais","얀 베르트랑 오!... 보졸레","Yann Bertrand","Yann Bertrand Beaujolais","Oh!... Beaujolais","",,"Red",,"Yann Bertrand Oh Beaujolais","Oh!... Beaujolais","",,,
"66","Aulantin Cabernet Savignon","아우란틴 까베르네 쇼비뇽","Aulantin","Aulantin Cabernet Sauvignon","Cabernet Sauvignon","Cabernet Sauvignon",,"Red",,"Aulantin","Cabernet Savignon","Cabernet Sauvignon",,,
"67","Sensi Chianti Riserva 'Dalcampo'","센시 키안티 리제르바 '달캄포'","Sensi [Sensi vini]","Sensi Chianti Riserva Dalcampo","Chianti Riserva Dalcampo","",,"Red",,"Sensi Dalcampo","Chianti Riserva 'Dalcampo'","",,,
"68","Azienda Agricola Biologica Baglio dei Fenicotteri di Squasi Giuseppe Pachius Oinos","아지엔다 아그리콜라 비올로지카 발료 데이 페니코떼리 디 스콰지 쥬세페 파키우스 오이노스","Azienda Agricola Biologica Baglio dei Fenicotteri di Squasi Giuseppe","Azienda Agricola Pachius Oinos","Pachius Oinos","",,,,"Baglio Fenicotteri Pachius Oinos","Pachius Oinos","",,,
"69","The Opening Chardonnay Reserve","더 오프닝 샤도네이 리저브","Advini","Advini Opening Chardonnay","The Opening Chardonnay","Chardonnay",,"White",,"Advini The Opening","The Opening Chardonnay Reserve","Chardonnay",,,
"70","Kabai Ravan","카바이 라반","Kabaj","Kabaj Ravan","Ravan","",,,,"Kabaj Ravan","Kabai Ravan","",,,
"71","Bodegas Murviedro 0% Rose Sparkling","보데가스 무르비에드로 0% 로제 스파클링","Bodegas Murviedro","Bodegas Murviedro 0% Rose","0% Rose Sparkling","",,"Sparkling",,"Bodegas Murviedro 0%","0%","",,"Sparkling",
"72","Distell Table Mountain Natural Sweet Red","디스텔 테이블 마운틴 네츄럴 스위트 레드","Distell","Distell Table Mountain Sweet","Table Mountain Natural Sweet","",,"Red",,"Distell Table Mountain","Table Mountain","",,"Red",
"73","Sanmac Winery Hwanhee","산막 와이너리 환희","산막 와이너리","Sanmac Hwanhee","Hwanhee","",,,,"Sanmac Winery Hwanhee","Hwanhee","",,,
"74","Gagela White","가젤라 화이트","Gazela","Gazela White","White","",,"White",,"Gazela Gagela","Gagela","",,"White",
"75","Moselland Arsvitis","모젤란드 알스비티스","Moselland","Moselland Arsvitis","Arsvitis","",,,,"Moselland Arsvitis","Arsvitis","",,,
"76","Freixenet ICE Cava Rose","프레시넷 아이스 까바 로제","Freixenet","Freixenet ICE Cava","ICE Cava Rose","",,"Sparkling",,"Freixenet ICE Cava","ICE","",,"Sparkling",
"77","Les Clos Maurice Licorne","레 끌로 모리스 리콘느","Les Clos Maurice","Les Clos Maurice Licorne","Licorne","",,,,"Les Clos Maurice Licorne","Licorne","",,,
"78","Geografico Pavo Nero","지오그라피코 파보 네로","Geografico","Geografico Pavo Nero","Pavo Nero","",,"Red",,"Geografico Pavo","Pavo","",,"Red",
"79","Diorama Collection Garnatxa Negra","디오라마 컬렉션 가르나차 네그라","Bodegas Pinord","Bodegas Pinord Diorama Collection","Diorama Collection Garnatxa Negra","Garnatxa",,"Red",,"Bodegas Pinord Diorama","Diorama Collection","Garnatxa",,"Red",
"80","Castelo di Ama Montebuoni","카스텔로 디 아마 몬테부오니","Castello di Ama","Castello di Ama Montebuoni","Montebuoni","",,,,"Castello di Ama Montebuoni","Montebuoni","",,,
"81","Arini Casa Vinicola I Grilli di Ari","아리니 카사 비니콜라 글릴리 디 아리","Wines of Sicilia [B2B]","Arini Casa Vinicola Grilli","I Grilli di Ari","",,,,"Wines of Sicilia Arini I Grilli","Arini Casa Vinicola I Grilli di Ari","",,,
"82","Terredavino Asinari Brachetto d'Acqui Spumante","테레다비노 아시나리 브라께토 다뀌 스푸만테","Terredavino","Terredavino Asinari Brachetto","Asinari Brachetto d'Acqui","Brachetto",,"Sparkling",,"Terredavino Asinari","Asinari Brachetto d'Acqui Spumante","Brachetto",,"Sparkling",
"83","YEAH Tempranillo Elegance","YEAH 템프라니요 엘레강스","Bodeges Celaya","Bodeges Celaya YEAH Tempranillo","YEAH Tempranillo Elegance","Tempranillo",,"Red",,"Bodeges Celaya YEAH Elegance","YEAH Tempranillo Elegance","Tempranillo",,"Red",
"84","Ibaci Vidal Icewine","이바치 비달 아이스와인","Pillitteri Estate","Pillitteri Vidal Icewine","Vidal Icewine","Vidal",,"Dessert",,"Pillitteri Estate Ibaci","Ibaci Vidal Icewine","Vidal",,"Dessert",
"85","Truchard Vineyards Carneros Merlot","트루차드 빈야드 카네로스 멜롯","Truchard Vineyards","Truchard Carneros Merlot","Carneros Merlot","Merlot",,"Red",,"Truchard Vineyards Carneros","Carneros Merlot","Merlot",,"Red",
"86","Quinta de Sante Cristina White","퀸타 데 산타 크리스티나 화이트","Quinta de Santa Cristina [B2B]","Quinta Santa Cristina White","White","",,"White",,"Quinta de Santa Cristina","White","",,"White",
"87","Merryvale Profile Red Blend","메리베일 프로파일 레드 블랜드","Merryvale Vineyards","Merryvale Profile Red","Profile Red Blend","",,"Red",,"Merryvale Profile","Profile Red Blend","",,"Red",
"88","Cardinale Caladan","카디날 칼라단","Cardinale","Cardinale Caladan","Caladan","",,,,"Cardinale Caladan","Caladan","",,,
"89","Xanadu Reserve Cabernet Sauvignon","제너두 리저브 카베르네 소비뇽","Xanadu","Xanadu Cabernet Sauvignon","Reserve Cabernet Sauvignon","Cabernet Sauvignon",,"Red",,"Xanadu Reserve","Reserve Cabernet Sauvignon","Cabernet Sauvignon",,"Red",
"90","Cantina Tramin Pinot Bianco Meriz","칸티나 트라민 피노 비양코 메리쯔","Cantina Tramin","Cantina Tramin Pinot Bianco","Pinot Bianco Meriz","Pinot Bianco",,"White",,"Cantina Tramin Meriz","Pinot Bianco Meriz","Pinot Bianco",,"White",
"91","VS&B Thorley Riesling","VS&B 쏠리 리슬링","Vignerons Schmolzer and Brown [B2B]","VS&B Thorley Riesling","Thorley Riesling","Riesling",,"White",,"Vignerons Schmolzer and Brown Thorley","Thorley","Riesling",,"White",
"92","Concha y Toro Casillero del Diablo Sauvignon Blanc","콘차이 토로 디아블로 소비뇽 블랑","Concha y Toro","Concha y Toro Casillero del Diablo","Casillero del Diablo Sauvignon Blanc","Sauvignon Blanc",,"White",,"Concha y Toro Casillero del Diablo","Casillero del Diablo","Sauvignon Blanc",,"White",
"93","Marrone Langhe Favorita","마로네 랑게 파보리타","Agricola Gian Piero Marrone","Marrone Langhe Favorita","Langhe Favorita","Favorita",,"White",,"Marrone Langhe","Langhe Favorita","Favorita",,"White",
"94","Casali Viticultori Invernaia Rosso","카살리 비티컬토리 인베르나이아 로쏘","Casali Viticultori [B2B]","Casali Viticultori Invernaia","Invernaia Rosso","",,"Red",,"Casali Viticultori Invernaia","Invernaia","",,"Red",
"95","Millstream Pinotage","밀스트림 피노타쥬","DGB","Millstream Pinotage","Millstream Pinotage","Pinotage",,"Red",,"DGB Millstream","Millstream","Pinotage",,"Red",
"96","The Long Little Dog Rose","더 롱 리틀 독 로제","Boutinot","Boutinot The Long Little Dog","The Long Little Dog Rose","",,"Rosé",,"Boutinot Long Dog","The Long Little Dog","",,"Rosé",
"97","Alexander Morellino di Scansano","알렉산더 모렐리노 디 스칸자노","Alexander","Alexander Morellino di Scansano","Morellino di Scansano","",,"Red",,"Alexander Morellino","Morellino di Scansano","",,"Red",
"98","GWS Vismino Ojaleshi-Cabernet Franc","지더블유에스 비스미노 오잘레시-카베르네 프랑","GWS [B2B]","GWS Vismino Ojaleshi","Vismino Ojaleshi-Cabernet Franc","Cabernet Franc",,"Red",,"GWS Vismino","Vismino","Ojaleshi; Cabernet Franc",,"Red",
"99","Luxdition Gold Brut NV","럭스디션 골드 브륏 NV","Emendis","Luxdition Gold Brut","Luxdition Gold Brut","",,"Sparkling",,"Emendis Luxdition","Luxdition","",,"Sparkling",
"100","Finest Vinha Do Vinteiro Douro Reserva","파이니스트 빈아 도 빈테로 두오로 리제르바","Tesco Finest","Tesco Finest Vinha Do Vinteiro","Vinha Do Vinteiro Douro Reserva","",,"Red",,"Tesco Finest Vinha Vinteiro","Vinha Do Vinteiro","",,"Red",
